trial_order,variables,var_mapping,uid,trial_set,trial,core_program,variant,step,step_id,text1,text2,response_needed,expected_response,is_loop,loop_type,loop_type_switch,n_iterations,n_loop_lines,updated_var
10,"a,i",1=a;2=i,74,2,1009,5,FWWFFFWW,2,2,"for i in [1, 2]:
   a /= 2",,1,"[8, 4]",1,for,,2,1,a
10,"a,i",1=a;2=i,75,2,1009,5,FWWFFFWW,3,3,"while a <= 11:
   a = round_up(a*1.5)",,1,"[6, 9, 14]",1,while,1,3,1,a
10,"a,i",1=a;2=i,76,2,1009,5,FWWFFFWW,4,4,"while a >= 13:
   a += 5
   a -= 6",,1,"[19, 13, 18, 12]",1,while,0,2,2,a
10,"a,i",1=a;2=i,77,2,1009,5,FWWFFFWW,5,5,"for i in [1, 2, 3]:
   a = average(a,4)",,1,"[8, 6, 5]",1,for,1,3,1,a
10,"a,i",1=a;2=i,78,2,1009,5,FWWFFFWW,6,6,"for i in [1, 2]:
   a *= 3
   a -= 11",,1,"[15, 4, 12, 1]",1,for,0,2,2,a
10,"a,i",1=a;2=i,79,2,1009,5,FWWFFFWW,7,7,"for i in [1, 2]:
   a *= 6
   a /= 2",,1,"[6, 3, 18, 9]",1,for,0,2,2,a
10,"a,i",1=a;2=i,80,2,1009,5,FWWFFFWW,8,8,"while a >= 7:
   a -= 2",,1,"[7, 5]",1,while,1,2,1,a
10,"a,i",1=a;2=i,81,2,1009,5,FWWFFFWW,9,9,"while a <= 7:
   a += 9
   a /= 2",,1,"[14, 7, 16, 8]",1,while,0,2,2,a
11,"a,i",1=a;2=i,55,2,7,4,WFFFWWWF,1,1,a = 11,,0,,0,,,1,0,a
11,"a,i",1=a;2=i,56,2,7,4,WFFFWWWF,2,2,"while a >= 5:
   a += 4
   a /= 3",,1,"[15, 5, 9, 3]",1,while,,2,2,a
11,"a,i",1=a;2=i,57,2,7,4,WFFFWWWF,3,3,"for i in [1, 2]:
   a = round_down(a*2.5)",,1,"[7, 17]",1,for,1,2,1,a
11,"a,i",1=a;2=i,58,2,7,4,WFFFWWWF,4,4,"for i in [1, 2, 3, 4]:
   a = average(a,1)",,1,"[9, 5, 3, 2]",1,for,0,4,1,a
11,"a,i",1=a;2=i,59,2,7,4,WFFFWWWF,5,5,"for i in [1, 2]:
   a *= 3
   a -= 1",,1,"[6, 5, 15, 14]",1,for,0,2,2,a
11,"a,i",1=a;2=i,60,2,7,4,WFFFWWWF,6,6,"while a >= 4:
   a -= 5
   a += 1",,1,"[9, 10, 5, 6, 1, 2]",1,while,1,3,2,a
11,"a,i",1=a;2=i,61,2,7,4,WFFFWWWF,7,7,"while a <= 15:
   a *= 3",,1,"[6, 18]",1,while,0,2,1,a
11,"a,i",1=a;2=i,62,2,7,4,WFFFWWWF,8,8,"while a >= 11:
   a /= 3
   a *= 2",,1,"[6, 12, 4, 8]",1,while,0,2,2,a
11,"a,i",1=a;2=i,63,2,7,4,WFFFWWWF,9,9,"for i in [1, 2, 3]:
   a += 4",,1,"[12, 16, 20]",1,for,1,3,1,a
12,"a,i",1=a;2=i,10,2,1002,1,WFFFFWWF,1,1,a = 7,,0,,0,,,1,0,a
12,"a,i",1=a;2=i,11,2,1002,1,WFFFFWWF,2,2,"while a <= 14:
   a *= 2
   a -= 4",,1,"[14, 10, 20, 16]",1,while,,2,2,a
12,"a,i",1=a;2=i,12,2,1002,1,WFFFFWWF,3,3,"for i in [1, 2, 3]:
   a /= 4
   a *= 2",,1,"[4, 8, 2, 4, 1, 2]",1,for,1,3,2,a
12,"a,i",1=a;2=i,13,2,1002,1,WFFFFWWF,4,4,"for i in [1, 2]:
   a = round_up(a*2.5)",,1,"[5, 13]",1,for,0,2,1,a
12,"a,i",1=a;2=i,14,2,1002,1,WFFFFWWF,5,5,"for i in [1, 2, 3]:
   a = average(a,5)",,1,"[9, 7, 6]",1,for,0,3,1,a
12,"a,i",1=a;2=i,15,2,1002,1,WFFFFWWF,6,6,"for i in [1, 2]:
   a += 2
   a /= 2",,1,"[8, 4, 6, 3]",1,for,0,2,2,a
12,"a,i",1=a;2=i,16,2,1002,1,WFFFFWWF,7,7,"while a <= 9:
   a *= 2",,1,"[6, 12]",1,while,1,2,1,a
12,"a,i",1=a;2=i,17,2,1002,1,WFFFFWWF,8,8,"while a <= 14:
   a += 6
   a -= 4",,1,"[18, 14, 20, 16]",1,while,0,2,2,a
12,"a,i",1=a;2=i,18,2,1002,1,WFFFFWWF,9,9,"for i in [1, 2, 3, 4]:
   a -= 3",,1,"[13, 10, 7, 4]",1,for,1,4,1,a
